level,key,period,n_companies,median_margin,mad_margin,median_debt_ratio,mad_debt_ratio,median_inv_turnover,mad_inv_turnover,median_growth,mad_growth
okved2,1,2022,86,0.09282226578472244,0.09273137827828437,0.3653581188924711,0.3653581188924711,1.5745314339907797,1.055116182804038,-0.0306735539343315,0.25284433832895076
okved2,10,2022,14,0.06436098531957844,0.052658782887534505,,,7.793331954473342,5.665964391311158,0.20045727928630097,0.22724113578100238
okved2,23,2022,13,0.0062887847798168,0.0285016297456367,0.7568884679385877,0.6085067948250895,9.88342086200652,8.021882400468058,0.4106719367588933,0.46408439966690507
okved2,25,2022,173,0.0192097119733396,0.024276950328436,0.0983606557377049,0.1751328608371725,6.912035484987371,5.331214989693191,0.1814038286235187,0.45720346652333754
okved2,28,2022,13,0.0273712737127371,0.044571172330428295,0.0194047335922822,0.5212693551288552,4.4396398118298,2.1620728269421225,0.0777712828143267,0.2891191724084294
okved2,33,2022,21,0.0501596593932943,0.033972225953464705,,,6.92874109263658,3.90782909728369,0.2431162415566085,0.31039053888910506
okved2,41,2022,185,0.0328566800870007,0.0315544998652581,0.1065161764984538,0.1065161764984538,8.536052133697709,7.380650282086739,0.2802265437907982,0.6473073648929187
okved2,42,2022,162,0.03684649916432285,0.035892333542133004,0.1375781417359637,0.1375781417359637,10.98220887245841,8.341211201891033,0.1309249080614093,0.38783664769541015
okved2,43,2022,208,0.03933429973238175,0.04463731152281245,0.0656447960087964,0.1022559008553151,6.975574712643678,5.358520844887742,0.25432221930337406,0.5041357893158447
okved2,45,2022,177,0.0344373334784663,0.0307539742548544,0.2060748815425488,0.32545546146536675,5.494943722943723,4.109648499175389,0.1711214460559751,0.3867414489628323
okved2,46,2022,390,0.0200854354125151,0.02072069262712585,0.1858268876106846,0.2950474293292061,7.55071210628248,6.327475563921356,0.043600753026241196,0.396231843196752
okved2,47,2022,234,0.0395032680488554,0.0378372069361087,0.02498138109017165,0.0900885227547558,6.680949248166329,4.6868469868815215,0.04806399000947995,0.22885539784250386
okved2,49,2022,184,0.02159180340818545,0.02974310486811895,0.0498188405797101,0.2461265932967583,28.940425531914894,26.909734994830494,0.17433299693730325,0.31435809108033463
okved2,52,2022,123,0.0271962190078307,0.0581962294105187,0.1063829787234042,0.2021630657544613,16.84788900579173,15.528573021135468,0.0652967474672901,0.34662894978244996
okved2,56,2022,164,0.03364662633944855,0.053856851751656845,0.0334633820086946,0.24619864345840042,15.210566615620214,11.360670565724165,0.1801091819562451,0.24747586351361
okved2,62,2022,164,0.07293769354816675,0.11837106750080453,0.0,0.02539242455181035,19.156203742733627,17.526651003022334,0.0164835164835164,0.2372751235412178
